IPMC |  All Questions ,,,,,,,,,,,,,,,
No.,Questions,Answer A,Answer B,Answer C,Answer Correct,Feedback,Questions Ar,Answer A Ar,Answer B Ar,Answer C Ar,Answer Correct Ar,Chapter,Process Group,Free Quiz,Exam No.
279,"Ali have been assigned as a project manager for a project. Ali and his team members start to identify individual project risks as well as sources of overall project risk and documenting their characteristics. Which of the following Data analysis techniques can be used for this process? 
","Interviews 
","Probability and impact matrix 
","Brainstorming 
","Root cause analysis 
","Root cause analysis is Data analysis techniques used in identify risk process .typically used to discover the underlying causes that lead to a problem and develop preventive action. It can be used to determine threats by starting with a problem statement and exploring which threats might result in that problem occurring. The same technique can be used to find opportunities by beginning with a benefit statement and exploring which opportunities might result in that benefit being realized. [PMBOK 6th edition, Page 415]",,,,,,Risk,Planning,,4
566,"You are the project manager of a project to solve customer service problems in your marketing company. During the execution phase, several quality defects have been discovered, causing customer concern. You would like to create a chart showing the frequency of problems and the causes that have the largest number of defects. Which tool shows defects by volume from greatest to least? ",Flowchart ,Matrix diagrams ,Ishikawa Diagram ,Pareto Chart ,A Pareto chart is a specific type of histogram that ranks causes or Issues by their overall influence. A Pareto chart assists in prioritizing corrective actions as the issues with the greatest impact are displayed in order.  ,,,,,,Quality,Executing,,5
131,You are in the process of analyzing the stakeholders on your project. You have grouped them based on their authority and their degree of active involvement in the project. Which of the following would you use to document this information? ,Model Power/Interest Grid ,Influence/Impact Grid ,Salience ,Power/Influence Grid ,"A Power/Influence Grid groups the stakeholders based on their authority and their degree of active involvement in the project.  [PMBOK 6th edition, Page, 512]",,,,,,Stakeholder,Initiating,,4
323,"You are estimating the duration of your project activities using a triangular distribution formula. For a particular project activity, your Optimistic estimate is 14 days, Pessimistic estimate is 49 days, and Most Likely estimate is 27 days. What is the expected duration of this activity? ",50,25,32,30,"Triangular distribution allows the estimator to include three estimates: optimistic, pessimistic, and most likely. The expected duration is calculated using the equation: Expected Duration = [P + ML + O/3], where P is the pessimistic estimate, ML is the most likely estimate, and ) is the optimistic estimate. Using this method, the correct answer 14+49+27/3=30 days. [PMBOK 6th edition, Page.201]",,,,,,Schedule,Planning,,5
290,"You want to establish benchmark for comparing actual project performance with the project management plan. What process should you complete to generate this model? 
","Develop schedule 
","Sequence activities 
","Develop project Charter 
","Create WBS 
","Create WBS process is the correct answer because the scope baseline is an output from this process and The scope baseline is compared to actual results to determine if a change, corrective action, or preventive action is necessary.S0 will use as a benchmark for Comparison [PMBOK 6th edition, Page.156]",,,,,,Scope,Planning,,4
316,"During the testing phase, your testing team implemented a solution to correct a defect they discovered. The solution didn't have an impact on cost or time. You know the case now; as a Project manager your action should be: ",Update management plans ,Escalate the team member who did the action without letting you know ,Issue a change request to CCB ,Add the corrective action to a Lessons learned register ,"The lessons learned register is updated with information on the source of quality defects and how they could have been avoided as well as approaches that worked well. [PMBOK 6th edition, Page 306] ",,,,,,Quality,Monitor & Control,,5
293,"During the planning phase of a project, you learn that the sponsor has eliminated some important deliverables in other projects over the past three years, producing a negative cost variance. What should the you as a project manager do next? 
","Document the lessons learned. 
","Define the scope baseline correctly. 
","Document the issue in the issue log. 
","Include the risk in the risk register. 
","In the past project, the project sponsor eliminated some important deliverables causing negative cost variance. This considers risk and should be included in the risk register. [PMBOK 6th edition, Page.417]",,,,,,Risk,Planning,,5
132,"Nada has been assigned to establish a PMO in her organization. Nada believes this project cannot succeed unless all the key project stakeholders support the project. She also believes she needs to pay special attention to stakeholder management to ensure the success of this project. First, she needs to develop her stakeholder register. To produce the project stakeholder register, which of the following processes must Nada start? ",Plan Stakeholder Engagement ,Manage Stakeholder Engagement ,Monitor Stakeholder Engagement ,Identify Stakeholders ,"The stakeholder register is developed during the Identify Stakeholders process. [PMBOK 6th edition, Page 514] ",,,,,,Stakeholder,Initiating,,5
32,Which of the following statements most accurately describes a project scenario?,"Changes in project scope
during the initial phases of the
project are very expensive",The influence of the stakeholders is the same all through the project,The next phase of a project should never start until the deliverables for the previous phase are completely reviewed and approved,"Staffing peaks are in the
execution phase of a project","Staffing is typically highest during the execution phase of the project. The other three responses may not hold true. Projects can move forward into subsequent phases without the deliverables of the prior phase being completely approved; this is known as fast tracking. Changes during the initial phases of the project are the least expensive. The influence of the stakeholders is highest during the start of the project and declines as the project moves to completion. [PMBOK 6th edition, Page 549]",,,,,,Resource,Executing,,1
40,Which of the following is a tool or technique of the Develop Team process?,Organizational charts,Acquisition,"Influence diagrams
",Co-location,"Colocation is a tool and technique of the Develop Team process. The other choices are not valid responses. [PMBOK 6th edition, Page 336]",,,,,,Resource,Executing,,2
353,"A project manager in a multinational company has assigned to implement new software that will impact several departments. To guarantee alignment of stakeholder expectations with the final product, what should the PM develop?",Business case,Stakeholder engagement assessment matrix.,Risk Breakdown structure (RBS),Stakeholder engagement plan.,"The stakeholder engagement plan identifies the management strategies and actions required to effectively engage stakeholders. The stakeholder engagement plan provides guidance and information on managing stakeholder expectations. The stakeholder engagement plan include specific strategies or approaches for engaging with individuals or groups of stakeholders. [PMBOK 6 edition page, 509, 522]",,,,,,Stakeholder,Planning,,5
285,"Your are managing a project which needs a few vendors to finish the work. One of the vendors before signing asked you to first get a part of payment before he makes the first shipment. As a Project manager, you will review: 
","Contract and agreement 
","Project Charter 
","Company process and conditions 
","Procurement Management Plan 
","The vendor asked you to get first a part of payment before he makes the first shipping before signing the contract , you should first review Procurement management Plan Because the Procurement Management Plan includes Timetable of key procurement activities and The legal jurisdiction and the currency in which payments will be made, but if this situation after signing the contract you should review Contract. [PMBOK 6th edition, Page 475] ",,,,,,Procurement,Planning,,3
69,A team member in your project is constantly providing incomplete deliverables and not performing well. What should you do first?,Discuss the issue with the team member in the presence of the project sponsor,Discuss the issue with the team member in the presence of other team members,Discuss the issue with the team member in the presence of the company's HR manager,Discuss the issue with the team member in private,"Discuss the issue with the team member in private. Conflicts should be first addressed in private, using a direct and collaborative approach. [PMBOK 6th edition, Page 348] ",,,,,,Resource,Executing,,3
356,"During execution phase, a project manager learns that a team member's line manager believes they shouldn't execute a certain task. What document should the project manager review to resolve this? ",Organizational chart ,Work breakdown structure (WBS) ,Resource management plan ,"RACI (responsible, accountable, consult, and inform) chart ","The RACI chart is useful for ensuring team members' roles and responsibilities are clear, especially when the team consists of internal and external resources. [PMBOK 6th edition Page, 317] ",,,,,,Resource,Planning,,4
313,The project team learns from a key stakeholders that some deliverables have been forwarded for approval without their knowledge. What should you have done to prevent this situation? ,Notified the project team. ,Scheduled a meeting with the customer and the project team ,Consulted the most recent meeting minutes related to deliverable ,Verified the communication management plan. ,"The communication management plan should be Verified to determine what communications should be shared and with whom. [PMBOK 6th edition, page 377] ",,,,,,Communication,Planning,,3
288,"A large, publicly funded civil project regulatory requirements specify that the contractor's project work be visually monitored on a continuous basis. Which method is suitable for meeting this compliance obligation'? 
","Video feedback using a drone 
","Photographs by an onsite photographer 
","Photographs attached to documentation submitted on a weekly basis 
","Video feedback through onsite web cameras 
","Publicly funded projects are under increasing scrutiny. A trend in infrastructure and commercial construction projects is the use of technology including web cameras (webcams) to improve stakeholder communications and relations. During construction, one or more webcams are installed on the site, with periodic updates to a publicly available website. The progress on the project can be viewed on the Internet by all stakeholders. Video data can also be stored, allowing analysis if a claim arises. Some projects have discovered that the use of webcams minimizes disputes relating to the construction work on site, as the webcam has recorded the events, so there should be no disagreement about the facts of the matter. [PMBOK 6th edition Page, 464]",,,,,,Procurement,Planning,,4
93,"You have just taken over a project from another project manager about six months into a 12-month project. As you get to know the staff on the project, you become aware that five staff members are relatives of the previous project manager. What do you do?",Check recruitment records of all employees,Report the HR manager to PMI,Interview these five employees,Notify your project stakeholders there is a possibility that nepotism was behind some of the staffing decisions made on your project,"Notify your project stakeholders of the situation. Once they are aware of the circumstances, a plan of action can be developed. It is possible the stakeholders may already be aware of the situation and had actually approved the hiring of these resources. Therefore, you should involve your stakeholders to resolve this issue. [PMI Code of Ethics and Professional Conduct] [Prof. Responsibility]",,,,,,Resource,Executing,,4
322,"During the execution of the project, the project manager had to manage a change request. He evaluated the impact of the change on the other constraints of the project then he got the change request approved by CCB. The next step a project manager should do is: ",Implement the Approved change. ,Update Project Management plan. ,Update the Issue Log. ,Ask the Sponsor for authorization. ,"Customer or sponsor approval may be required for certain change requests after CCB approval unless they are part of the CCB. [PMBOK 6th edition, Page 115] ",,,,,,Integration,Monitor & Control,,4
251,"The project manager forgot to archive the project document at the closing process. What is the benefit of the archive project document? 
","Collecting lessons learned 
","Update the organization's knowledge base. 
","Update the OPA 
","For potential use in future projects and audits. 
","Archive project documents and materials using generally accepted practices in order to comply with statutory requirements, for potential use in future projects, and audits. PMP Exam Content Outline in ( Closing ) task no. 6 [PMBOK 6th edition, Page.121]",,,,,,Integration,Closing,,4
326,"The CTO identified a problem with one of the features of a software application your team was working on and submitted a change request. Even though it was out of the project's scope, the change control board approved the change. The BEST action to take next is: ",Inform stakeholders with the new status of the project ,Update Project management plan ,Implement the Approved change request ,Update the change log ,"The first step after the approved Change request is Update the change log . all change requests are recorded in the change log as a project document update. [PMBOK 6th edition, Page 120] ",,,,,,Integration,Monitor & Control,,5
106,"You are a project manager, and your project is currently in the execution phase. One of your project teams leave the site early at 3:00 pm Thursday and mistreats his colleagues. You would like to establish clear expectations regarding the acceptable behavior of the team member. To avoid such situations, you should create: ",Team-building activities ,Interpersonal skills ,Management skills ,Team charter ,"The team charter establishes clear expectations regarding acceptable behavior by project team members. [PMBOK 6th edition, Page 319] ",,,,,,Resource,Executing,,5
304,"A project has a duration of three years. In the middle of the project, the project manager resigned. A new project manager was assigned, and at the first meeting, the project team told him that a flood may happen within the next few months and will affect the project equipment. What should the project manager do next? ",Using a management reserves ,Using a workaround ,Update the risk register ,Review a risk management plan ,"(Review a risk management plan), the Keyword in this question the ( new) project manager so the first thing the new project manager will do it review risk plan after this he will decide what will he do. [PMBOK 6th edition, Page.405]",,,,,,Risk,Planning,,3
332,"You have a project that is three months behind but is surprisingly markedly under budget. You have decided to try to make up time, but needs to minimize the project risk. What is the best thing to do? ",Fast track the project ,Redefine the scope ,Perform resource levelling ,Crash the project ,"Crashing (adding resources) may be done as the project is within budget and crashing usually incurs an extra cost. Fast-tracking will increase the risk therefore not an option. [PMBOK 6th edition, Page.215]",,,,,,Schedule,Planning,,3
158,"A project is behind schedule and over budget. As a result of increased stakeholder pressure, the project team has been placed under serious pressure. This causes a conflict between the quality and production managers, with each blaming the other for the delay and cost overruns. What should the project manager do? ","Meet with both managers, and ask them to immediately end the conflict to avoid negatively impacting the project. ",Meet with the managers' supervisors to discuss possible actions. ,"Discuss the situation with the stakeholders, and follow their suggestions for dealing with the conflict. ",Refer to the team charter for guidelines on how to deal with this conflict. ,"The team charter is a document that establishes the team values, agreements, and operating guidelines for the team. The team charter include Conflict( resolution process. SO the project manager should Refer to the team charter for guidelines on how to deal with this conflict. [PMBOK 6th edition Page, 319]",,,,,,Resource,Executing,,1
165,"During the planning stage of a project, a company goes under an organizational structure change. The project manager believes most of the stakeholders have changed. Which tool or technique should the project manager uses to verify whether the stakeholders have changed? ",Mind mapping. ,Decision-making matrix. ,Fishbone diagram. ,Questionnaires and surveys. ,"Questionnaires and surveys are a Data-gathering techniques that written sets of questions designed to quickly accumulate information from a large number of respondents. Questionnaires and/or surveys are most appropriate with varied audiences, when a quick turnaround is needed, when respondents are geographically dispersed, and where statistical analysis could be appropriate.S0 the project manager should uses Questionnaires and surveys to verify whether the stakeholders have changed. [PMBOK 6th edition Page, 507]",,,,,,Stakeholder,Initiating,,1
307,Fixed Price Contract is a form of which risk?,Avoiding ,Mitigating ,Working around ,Transferring ,"The Buyer using Fixed Price Contract to Transfer the Risk to the Seller. [PMBOK 6th edition, Page 443] ",,,,,,Risk,Planning,,4
369,"The customer always asks for a lot of changes in scope and product features during the project execution. You accept all changes to meet customer satisfaction. After a period of implementation, you noticed inflation in the budget. What should you have done to prevent this situation? ",Control scope ,Cost management plan,Scope management plan ,Change management plan ,"Change management plan, which provides the direction for managing the change control process and documents the formal change control board (CCB). if the PM implemented the change requests without analyzing the impact of the changes on time and cost and quality will increase the risks in the project and lead to increased costs (cost overruns). [PMBOK 6th edition, Page.88]",,,,,,Integration,Planning,,4
191,A lead business analyst on a large project has consistently been working late to finalize requirements for the next sprint. In the weekly team lead meeting. The project manager learns there are several business analysts on the team who have free cycles. What should the project manager do to ensure an even workload? ,Delay the start date of the next sprint to allow more time for gathering requirements. ,Review the list of open requirements and reassign them to team members with free cycles. ,Direct the business analysts with free cycles to take more ownership of the project. ,Facilitate a discussion within the team to redistribute the work within the project team. ,"Since there are several business analysts on the team who have tree cycles, the  project manager should facilitate a discussion within the team to redistribute the work within the project team.  [PMBOK 6th edition page, 345]",,,,,,Resource,Executing,,2
328,Using quantitative risk analysis and modeling technique that helps to determine which risks have the most impact on a project. Your goal is to find whether the occurrence of a particular threat would be merely an inconvenience or would ruin the project. Which of the following tools will be most appropriate for your analysis? ,Control chart ,Expected monetary value ,SWOT analysis ,Tornado Diagram ,"A tornado diagram is a diagramming method to display sensitivity analysis data by examining all the uncertain elements at their baseline values. It gives a quick overview of how much the project will be impacted by various elements. The element with the greatest impact on the project appears at the top. This diagram can be used to determine sensitivity in cost, time, and objectives and is helpful in determining detailed response plans for elements with greater impacts. [PMBOK 6th edition, Page.434]",,,,,,Risk,Planning,,5
325,"A supplier delivers equipment that fails to meet customer requirements in your project. After investigation, you determined that the supplier misunderstood the requirements and make incorrect assumptions without clarifying them with the customer.  What type of communication methods should the project manager have used to avoid this? ",Push communication,Pull communication ,Manual communication ,Interactive communication ,"( Interactive communication ) is The best communication methods can be using to avoid the supplier misunderstood the requirements with the customer. [PMBOK 6th edition, Page.374]",,,,,,Communication,Planning,,4
349,"During the design for a new laptop project, one of your team members discovers an approach for increasing the storage area for the laptop without increasing the expenses of the project. What is the best risk response to plan?",Mitigate,Accept,Transfer,Exploit ," (Exploit) because of the approach for increasing the storage area for the laptop not increasing the expenses of the project so its opportunity, the best risk response is Exploit. [PMBOK 6th edition, Page.444]",,,,,,Risk,Planning,,4
327,The Project team members and the subject matter expert (SME) are working on a design development project. You discover an enhancement that will improve the design. What should you as the project manager do? ,Ask the subject matter expert (SME) to implement the enhancement. ,"Document this discovery, and present it to all stakeholders. ","Ignore the enhancement, as no changes are allowed. ",Ask the change control board (CCB) to review the enhancement. ,"Since the enhancement may impact the project baseline, so the next step, ask the change control board (CCB) to review the enhancement and make a decision. [PMBOK 6th edition, Page.113]",,,,,,Integration,Monitor & Control,,4
196,"Two team members who have conflicting opinions. One team member explains her side of the conflict. The other team member responds by saying, ""I know you'll never really listen to my side, so let's just go with her opinion and get back to work."" The team member used which of the following techniques for resolving conflict? ",Forcing ,"Smoothing 
","Compromise 
",Withdrawal ,"It's clear that the team member avoids the situation and thought that PM not listen to him and go with another opinion. [PMBOK 6th edition, Page.349]",,,,,,Resource,Executing,,3
226,"Ann is a member of a software team, she identified a potential nonconformance in some recently developed software The person who wrote the software disagrees. How should the project manager respond? 
","Wait until the next automated test which will identify if the defect exists. 
","Ask the member who discovered the problem to rectify it urgently so it is available in the next release. 
","Record the disagreement for discussion at the next retrospective. 
","Bring both resources together to discuss and resolve the issue immediately. 
","Bring both resources together to discuss and resolve the issue immediately. This is an example of the solve problem technique... [PMBOK 6th edition, Page.349]",,,,,,Resource,Executing,,4
364,You receives an email from a vendor that a key deliverables will be delayed by a month. What should you as the project manager do first? ,Call the vendor to obtain a justification for the delay. ,Update the management and obtain their advice. ,Meet with the team identify ways to absorb this delay. ,Assess the impact of the delay on the project plan. ,"The project manager should FIRST Assess the impact of the delay on the project plan then take the corrective action such as Meet with the team identify ways to absorb this delay to find solutions. Option ( Update the management and obtain their advice. ) not good practice as the project manager should be proactive and find ways to solve the problems with the team members. Option Call the vendor to obtain a justification for the delay. ) not good also because he already received an email from a vendor that a key deliverables will be delayed by a month and the calling not will be useful. [PMBOK 6th edition, Page.419]",,,,,,Risk,Planning,,5
294,"You have only completed the project charter and is working on the project management plan. What should you as the project manager do next to build a detailed scope description? 
","Develop the scope statement with stakeholder input. 
","List all concerns in the stakeholder engagement plan. 
","Create the work breakdown structure. WBS 
","Implement the plan scope management process. 
","After developing the project charter and initiation phase, the first process in planning is to plan scope management then collect requirements then define scope process to Develop the scope statement. [PMBOK 6th edition, Page.134]",,,,,,Scope,Planning,,5
228,"You are working in a matrix organization. A team members indicate that they are also assigned to work on other initiatives and can no longer devote any time to their assigned activities. As a project manager, what should you do first to resolve this issue? 
","Evaluate the impact and use optimizations techniques to compensate for the delay. 
","Escalate the problem to the sponsor who can assign more staff to work on the project. 
","Implement the change control process and reduce the project scope to include less deliverables. 
","Speak to the functional manager and determine alternatives to address these activities. 
","Since the team members assigned to work on other initiatives and can no longer devote any time to their assigned activities. The project manager should Speak to the functional manager and determine alternatives to address these activities. [PMBOK 6th edition, Page.332]",,,,,,Resource,Executing,,5
380,You want to recruit another team member to replace an architect who resigned from your project. What document should capture this change? ,Organizational process Assets. ,Project management plan. ,Ground rules ,Responsibility assignments matrix (RAM) ,"RAMs are used within the group to designate roles, responsibilities, and levels of authority for specific activities. The matrix format shows all activities associated with one person and all people associated with one activity. This also ensures that there is only one person accountable for any one task to avoid confusion about who is ultimately in charge or has authority for the work. [PMBOK 6th edition Page, 317]",,,,,,Resource,Planning,,5
239,"In a project to develop a new product, The project has fallen behind schedule because team members are lacking motivation. What should the project manager do to motivate the project team? 
","Use coaching and monitoring skills. 
","Delegates the responsibilities. 
","Apply creative problem solving. 
","Offer recognition and rewards. 
","The team members are lacking motivation. SO the best thing should the project manager do to motivate them is to Offer recognition and rewards. People are motivated when they feel they are valued in the organization and this value is demonstrated by the rewards given to them. Generally, money is viewed as a tangible aspect of any reward system, but intangible rewards could be equally or even more effective. Most project team members are motivated by an opportunity to grow, accomplish, be appreciated, and apply their professional skills to meet new challenges. A good strategy for project managers is to give the team recognition throughout the life cycle of the project rather than waiting until the project is completed. [PMBOK 6th edition Page, 342]",,,,,,Resource,Executing,,3
329,You notice that a process has 3 points between mean and lower control limit and 4 points between upper control limit and specification limit during the review of a control chart. How will you evaluate this process? ,Cannot be determined ,In control ,Customer only can take decision for this process ,Need solution ,"Although the Points is within the customer's specification limits, it is outside the control limit. Therefore, you will take corrective action so as to avoid any possible defect. [PMBOK 6th edition, Page 304] ",,,,,,Quality,Monitor & Control,,3
243,"Now, you wish to track the performance of individual members and optimize the team's performance. After  you have completed resource planning and acquired resources and improved the team competency and performance. Which process will you perform? 
","Control Resources 
","Develop Team 
","Team building 
","Manage Team 
","All this is performed in the Manage Team process. [PMBOK 6th edition, Page.345]",,,,,,Resource,Executing,,4
371,"A project manager decides to procure the full amount of a required project material to exploit a price-volume discount. There months later, the price for that material drops by 50 percent due to over- production and change in technology. What should the project manager have done differently? ",Purchased the material from two or more vendors. ,Purchased the minimum amount of the material. ,Negotiated with the vendor to adjust the price. ,Properly identified the risks. ,"Procure the full amount of a required project material is a big risk and the project manager should have done Properly identified the risks. [PMBOK 6th edition, Page.409]",,,,,,Risk,Planning,,4
346,"During sequencing activities, your team defines that:
? Activity A has a duration of three weeks. 
? Activity C with a duration of four weeks, will start first. 
? Activity B with a duration of two weeks, will start after completion of activity A 
? Activity D, with a duration of four weeks, will start with a lead time of one week upon completion of activity B 
? Activity E with a duration of five weeks, will start after the completion of activity C 
? Activity F, with a duration of three weeks, will have a start to start dependency with activity E, with a lag time of three weeks 
What is the project's critical path?", 8 weeks. ,12 weeks. ,9 weeks.,10 weeks. ,"To calculate the project's Critical Path ""shortest possible duration"" , you should start drawing the network and sum the duration of the longest path to calculate the shortest possible duration First Path ( A-B-D = 8 Weeks ) Second Path ( C-E-F = 10 Weeks ) [PMBOK 6th edition, Page.210]",,,,,,Schedule,Planning,,4
357,"One day before the launch of the new product, the project was terminated due to important distribution needs that were not identified. What should the PM developed to prevent this? ",Stakeholder engagement plan ,Risk management plan ,Resource management plan ,Communication management plan ,"The scenario implies there is a problem with project communications. To avoid this situation, the project manager should have been better developed the communication management plan. [PMBOK 6th edition, Page.377]",,,,,,Communication,Planning,,5
331,The GM keeps asking for changes to the project scope that are not consistent with the original project requirements. One of the changes was requested one month before the project launch date. This change is projected to cause significant project delays. What should the project manager do? ,Continue with the launch date as per the approved project management plan. ,Update the change management document. ,Inform the project steering committee about the project delay risk. ,Submit a change request to the change control board (CCB). ,"Because changes to the project scope - cause significant project delays .. The project manager should Submit a change request to the change control board (CCB) for reviewing and approval. [PMBOK 6th edition, Page.113]",,,,,,Scope,Monitor & Control,,1
324,"During a unique product development project, you notice that the requirements are conceptual and that it is difficult to obtain a shared understanding by all stakeholders. What can you do to obtain a shared understanding of the project's requirements? ",Benchmark with the other organizations. ,Conduct a requirements walkthrough., Hold brainstorming sessions with the stakeholders. ,Build a prototype. ,"Prototyping is a method of obtaining early feedback on requirements by providing a model of the expected product before actually building it. Examples of prototypes are small-scale products, computer generated 2D and 3D models, mock-ups, or simulations. Prototypes allow stakeholders to experiment with a model of the final product rather than being limited to discussing abstract representations of their requirements. SO the project manager could obtain a shared understanding of the project's requirements by Build a prototype. [PMBOK 6th edition Page, 147]",,,,,,Scope,Planning,,4
337,"You are the project manager of the Mega IT Project. Before the implementation of a system upgrade, one of the team members discovers a critical defect in the current system that must be fixed. What should the project manager do? ",Implement the fix ,No action taken because the project scope has been finalized ,Update the Risk register ,Inform the project sponsor and follow the perform integrated change control process. ,"The correct answer is to Inform the project sponsor and follow the perform integrated change control process to fix the defect. [PMBOK 6th edition, Page.113]",,,,,,Integration,Monitor & Control,,5
253,"Suzi is a new project manager on a project with a very tight budget, she is struggling as they have no experience working on this type of project. What can the project manager do to mitigate the lack of experience? 
","Ask for support from more senior project managers. 
","Review the lessons learned repository of similar projects. 
","Request reassignment to a different type of project. 
","Seek external training 
","The organization did not have experience. So options ( Review the lessons learned repository of similar projects. and Ask for support from more senior project managers ) not correct ... SO the project manager should Seek external training to mitigate the lack of experience .... The organization may cover the cost of training if required and if added skills will be useful in future projects.... [PMBOK 6th edition, Page.342]",,,,,,Resource,Executing,,5
310,"You are a project manager for a IT project. During the implementation phase, you found the budget of one of the supplied software packages became much more than you expected. What should you have been done to prevent this situation? ",Procurement audit ,Inspection and audit ,Performance Review ,Make or buy decision ,"If you make  or buy decision in planning procurement, you could prevent this situation. [PMBOK 6th edition, Page 473] ",,,,,,Procurement,Planning,,5
254,"As a project manager,  you notice one of your team members doesn't finish his tasks on time. What should you do next? 
","Meeting with the project team members and evaluate the impact on the project. 
","Schedule training sessions for the team member to optimize his performance. 
","Release a team member 
","Conduct One-on-One Meeting with the team member 
","The first step is to Conduct One-on-One Meeting with the team member to understand why he leaves the site early and why he does not finish his tasks on time. [PMBOK 6th edition, Page.342]",,,,,,Resource,Executing,,3
354,"A project manager has signed a multi-year contract with a customer to complete a project for a fixed price. Since the duration of the contract is long, the PM has added a provision to adjust the price of the contract according to the market inflation. What kind of contract is this?",Cost plus fixed fee,Firm fixed price,Time and materials,"Fixed price with 
economic price adjustment","The fixed price with economic price adjustment: This type is used whenever the seller's performance period spans a considerable period of years, or if the payments are made in a different currency. It is a fixed-price contract, but with a special provision allowing for predefined final adjustments to the contract price due to changed conditions, such as inflation changes or cost increases (or decreases) for specific commodities. [PMBOK 6th edition, Page 471]",,,,,,Procurement,Planning,,1
338,"After conducting a data analysis, John determines the cause and degree of variance relatives to the approved scope. What should the project manager do next? ",Change the performance measurement baseline., Revise the scope baseline. ,Updates the scope management plan. ,Decide if a corrective or preventative action is required ,"Important aspects of project scope control include determining the cause and degree of variance relative to the scope baseline and deciding whether corrective or preventive action is required. [PMBOK 6th edition Page, 170]",,,,,,Scope,Monitor & Control,,5
358,Kim is a project manager for a big project. He want to outsource some of the works. The project schedule is very tight and the scope not well defined. What type of contract should Kim sign? ,Firm fixed price contract (FFP) ,Cost Plus Fixed Fee Contracts (CPFF) ,Fixed Price Incentive Fee Contracts (FPIF) ,Cost Plus Incentive Fee Contracts (CPIF) ,"The project scope not well defined so you can easily remove option Fixed Price Incentive Fee Contracts (FPIF) and Firm fixed price contract (FFP). Option Cost Plus Incentive Fee Contracts (CPIF) is the Best because this type Provide low risk for the buyer from CPFF. [PMBOK 6th edition, Page 472]",,,,,,Procurement,Planning,,3
396,The construction company is signing contract with consultant agent to finalize the project requirement. Which of the following estimating technique would be best in order to estimate the activity cost? ,Three Point Estimating ,Parametric Estimating ,Analogous Estimating ,Bottom-up-Estimating ,"Because Bottom-up will give you the most accurate estimates, and it requires a well-defined scope & accurate WBS. [PMBOK 6th edition Page, 244]",,,,,,Cost,Planning,,5
397,You are project manager responsible for executing houses  construction project. The key stakeholders and the Project sponsor approved the project management plan. What is the next step? ,Identify Stakeholders ,Direct and Manage Project Work ,Update Business Case ,Conduct the project kick-off meeting ,"After approval the project management plan, the next step is Conduct kick-off meeting, communicating the start of the project, key milestones, and other relevant information in order to inform and engage stakeholders and gain commitment before the project execution. ",,,,,,Integration,Planning,,5
339,Liza is a project manager in the execution stage of the project. Her team members are conducting a meeting to examine and document the effectiveness of risk responses in dealing with overall project risk and with identified individual project risk. What is the project team doing? ,Reserve analysis  ,Risk reassessment ,Status meeting,Risk review meeting ,"Risk reviews are scheduled regularly and should examine and document the effectiveness of risk responses in dealing with overall project risk and with identified individual project risks. [PMBOK 6th edition, Page 457] ",,,,,,Risk,Monitor & Control,,4
348,"You are the project manager of a project near completion. After sending a follow-up report to the stakeholders, some stakeholders comment that some unresolved issues have been excluded from the report. What should you have done to prevent this?",Conducted the monitor Stakeholder Engagement process.,Followed the change control process.,Better controlled project documents.,Conducted the monitor communication process. ,"The monitor communication process requires reviewing data from the issue log, the issue log provides the project's history, a record of stakeholder engagement issues, and how they were resolved. The issue log may be updated with new information on issues raised, their progress, and resolution. [PMBOK 6th edition Page, 389, 390, 393]",,,,,,Communication,Monitor & Control,,4
372,"A project is initiated, and planned. As a project manager, you are about to conduct the kick-off meeting with all stakeholders, and you feel that the strategic directions for the project need to be presented first. Who should present this topic? ",customer ,Project manager ,Functional manager ,Project sponsor ,"The project sponsor is the person presenting the organization's strategy ( strategic directions ) during the kick-off meeting, While the project manager presents the project (implementation strategy). [PMBOK 6th edition, Page.377]",,,,,,Communication,Planning,,3
340,"You are the project manager of the Telecom Project and are working with the project stakeholders to determine the project requirements. You and the stakeholders are brainstorming privately to come up with as many solutions to the project as possible. After the brainstorming session, a recorder documents all the solutions on a white board so everyone can see the ideas and how they may be related. After the solutions have been documented, you lead the group through a voting process to discuss and rank each idea and requirement that has been proposed. What is this technique called? ",Affinity diagram ,Brainstorming ,Mind mapping ,Nominal group technique ,"The nominal group technique enhances brainstorming with a voting process used
to rank the most useful ideas for further brainstorming or for prioritization. The nominal group technique is a
structured form of brainstorming. [PMBOK 6th edition, Page.144]",,,,,,Scope,Planning,,5
388,The project and product requirements have been identified by the project team members during the planning phase of your project. Which of the following were used to accomplish this? ,"Mind mapping, affinity diagram and Brainstorming ","Observations conversations, trend analysis and work breakdown structure (WBS) ","Network diagram, Benchmarking, and project scope statement. ","Observations conversations, benchmarking and affinity diagram ","You can easily remove two options that include Network diagram and WBS. Also, Mind mapping and Brainstorming both used to generate new ideas so not a good choice. So the best answer to identify the project and product requirements are Observations conversations, benchmarking, and affinity diagram. [PMBOK 6th edition page, 142]",,,,,,Scope,Planning,,4
305,You are at the end of your civil project when the PMO head called you asking to ensure the transfer of liability of the buildings to the operation department. What should you do to achieve a PMO request? ,Obtain Formal Acceptance from customer ,Collect lessons learned and update knowledge base, Prepare and share the final project report ,"Obtain financial, legal, and administrative closure ","Refer to PMP Exam Outline in the Closing Process Group ( Task no. 3 ) [PMBOK 6th edition, Page.121]",,,,,,Integration,Closing,,3
